"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT",4.12233187698744e-23,3.64826371113389e-20,1.24623277191648,-0.803045828727382,-2.70672839856153,116,"Etfa;Ndufa9;Cox7a2;Ndufs3;Ndufb3;Suclg1;Cox6c;Ndufs4;Ndufa2;Ndufs8;Cox7b;Mdh1;Ndufb6;Cox5a;Ndufa1;Ndufb2;Sdhb;Etfb;Mpc1;Ndufs2;Uqcrfs1;Uqcrq;Ndufv1;Uqcrc2;Ndufa7;Sdhd;Gstz1;Ndufb7;Idh3b;Uqcrc1;Cox6b1;Ndufa3;Cyc1;Sdhc;Ndufb8;Cox5b;Nfs1;Dld;Ndufs1;Cox17;Sucla2;Hagh;Uqcrh;Pdhb;Ndufc1;Ndufa8;Idh2;Ndufs7;Uqcr10;Surf1;Ndufv2;Mpc2;Acat1;Cox8a;Cycs"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT",1.83439798894186e-17,8.11721110106771e-15,1.07686819261983,-0.83105958055762,-2.64595807938284,74,"Etfa;Ndufa9;Cox7a2;Ndufs3;Ndufb3;Cox6c;Ndufs4;Ndufa2;Ndufs8;Cox7b;Mdh1;Ndufb6;Cox5a;Ndufa1;Ndufb2;Sdhb;Etfb;Ndufs2;Uqcrfs1;Uqcrq;Ndufv1;Uqcrc2;Ndufa7;Sdhd;Ndufb7;Uqcrc1;Cox6b1;Ndufa3;Cyc1;Sdhc;Ndufb8;Cox5b;Nfs1;Ndufs1;Cox17;Uqcrh;Ndufc1;Ndufa8;Ndufs7;Uqcr10;Surf1;Ndufv2;Cox8a;Cycs"
"REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES",2.75030198792475e-09,8.11339086437802e-07,0.774939030136436,-0.623280966588079,-2.13254873420159,129,"Psmd14;Tst;Oat;Sat1;Rps19;Psma1;Bckdha;Rps14;Gstz1;Gcdh;Pcbd1;Hibch;Pxmp2;Echs1;Rpl39;Paox;Aldh9a1;Rps2;Rps27l;Psma3;Hsd17b10;Psmb3;Psma2;Psmb5;Dct;Dld;Fah;Slc25a10;Shmt1;Sqor;Bbox1;Psmc2;Rpl22;Mccc1;Agxt;Bckdhb;Ahcy;Fmo1;Acat1;Inmt;Gls;Rpl14;Got2;Hao1;Nqo1;Mccc2;Ftcd;Rps10;Rps5;Got1;Cth;Dio1;Amd1;Aldh7a1;Gamt;Psmc4;Slc25a13;Psph;Qdpr;Rps3;Psmd13"
"REACTOME_COMPLEX_I_BIOGENESIS",7.78306026304873e-09,1.72200208319953e-06,0.747739663149885,-0.853017249312658,-2.31959992223053,31,"Ndufa9;Ndufs3;Ndufb3;Ndufs4;Ndufa2;Ndufs8;Ndufb6;Ndufa1;Ndufb2;Ndufs2;Ndufv1;Ndufa7;Ndufb7;Ndufa3;Ndufb8;Ndufs1;Ndufc1;Ndufa8;Ndufs7"
"REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION",2.62965629794539e-08,4.65449164736335e-06,0.73376198835648,-0.744902625144074,-2.2357076713442,54,"Slc25a5;Ndufs3;Ndufa2;Ndufb6;Cox5a;Uqcrq;Ndufv1;Triap1;Uqcrc2;Ech1;Eci1;Hsd17b10;Cox5b;Dld;Ndufs1;Pdhb;Timm9;Idh2;Lonp1;Acat1"
"REACTOME_PROTEIN_LOCALIZATION",1.02589471529373e-07,1.51319470505826e-05,0.704975715167238,-0.656423247250858,-2.13964528160814,89,"Acaa1a;Gstk1;Timm8b;Ehhadh;Hmgcl;Pex16;Ech1;Pxmp2;Pex7;Acot8;Pecr;Paox;Pex6;Cyc1;Ndufb8;Fis1;Cox17;Abcd2;Aldh3a2;Pex2;Agxt;Timm9;Pex5;Abcd3;Cyb5a;Scp2;Timm13;Timm10;Hao1;Mlycd;Ephx2;Pex11b;Acot3;Ube2d3;Ide;Idh1;Crot;Slc25a13;Timm50;Hspd1"
"REACTOME_FATTY_ACID_METABOLISM",1.04664749417348e-06,0.000132326147477647,0.643551836150722,-0.640432809620641,-2.0621317544945,83,"Acaa1a;Acaa2;Acads;Ehhadh;Cbr4;Eci1;Fads1;Mcee;Echs1;Acot8;Decr1;Pecr;Dbi;Aldh3a2;Acadvl;Hpgd;Fads2;Them4;Lta4h;Scp2;Elovl2;Gpx4;Cbr1;Mlycd;Ephx2;Hadh;Acot3;Ndufab1;Crot;Elovl5;Slc27a1;Abcd1;Elovl6;Acadm;Slc25a20;Mid1ip1;Acsl4;Acsl5"
"REACTOME_METABOLISM_OF_LIPIDS",2.07265388259889e-06,0.000229287335762502,0.627256739718528,-0.472711667017513,-1.72714712899268,252,"Acaa1a;Acaa2;Fabp1;Fabp2;Acads;Akr1c6;Sar1b;Serpina6;Ehhadh;Acat3;Hmgcl;Fdx1;Cbr4;Eci1;Fads1;Mcee;Echs1;Ebp;Acot8;Decr1;Stard4;Pecr;Dhrs7b;Tspo;Dbi;Bdh2;Insig1;Pcyt2;Pnpla8;Aldh3a2;Trib3;Acadvl;Synj2;Gpat4;Akr1c20;Hsd3b3;Fdxr;Lpin2;Hpgd;Cyp17a1;Pikfyve;Acat1;Slc27a5;Fads2;Them4;Lta4h;Scp2;Elovl2;Plaat3;Gpx4;Cbr1;Mlycd;Abcg2;Ephx2"
"REACTOME_NUCLEAR_ENVELOPE_BREAKDOWN",5.71026499028317e-06,0.000561509390711178,0.610526878385931,0.85721220343288,2.05549033375244,17,"Nek7;Pom121;Nup98"
"REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS",1.35493226736998e-05,0.00119911505662244,0.593325476396405,-0.555681695161533,-1.85308315358839,113,"Cox7a2;Psmd14;Fabp1;Cox6c;Prdx2;Cox7b;Txn1;Cox5a;Skp1;Prdx6;Txnrd2;Prdx3;Atox1;Psma1;Taldo1;Cox6b1;Psma3;Psmb3;Psma2;Psmb5;Blvrb;Cox5b;Prdx1;Psmc2"
"REACTOME_PEROXISOMAL_PROTEIN_IMPORT",1.73543177302313e-05,0.00139623374465952,0.575610261071129,-0.713454683919428,-2.09860393219653,45,"Acaa1a;Gstk1;Ehhadh;Hmgcl;Ech1;Pex7;Acot8;Pecr;Paox;Pex6;Pex2;Agxt;Pex5;Scp2;Hao1;Mlycd;Ephx2;Acot3;Ube2d3;Ide;Idh1;Crot"
"REACTOME_NUCLEAR_PORE_COMPLEX_NPC_DISASSEMBLY",3.06560458636056e-05,0.0020869692760993,0.557332238758646,0.930935637669792,1.93727884604325,10,"Nek7;Pom121;Nup98"
"REACTOME_REGULATION_OF_PD_L1_CD274_TRANSCRIPTION",3.05353527696544e-05,0.0020869692760993,0.557332238758646,0.7782797588093,2.02908503162473,24,"Crebbp;Stat3;Tcf7l1;Tcf7l2;Rela"
"REACTOME_MITOTIC_PROPHASE",3.50505910722701e-05,0.00221569807849708,0.557332238758646,0.767699877827581,2.15300579682265,34,"Nek7;Pom121;Nup98;Numa1;Kmt5a"
"REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES",4.00573713236036e-05,0.00236338490809261,0.557332238758646,-0.78232234722536,-2.05015479387553,27,"Psmd14;Psme2;Psma1;Psmb9;Psmb8;Psma3;Psmb3;Psma2;Psmb5;Psmc2"
"REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY",4.72675444706789e-05,0.00261448605353443,0.557332238758646,-0.925486061271088,-1.95504136321289,10,"Apoc1;Apoe;Sar1b;Apoc2;Apoc3"
"REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION",5.63059624988053e-05,0.00293122216537898,0.557332238758646,-0.872779218171428,-1.99827062493426,14,"Psme2;Psma1;Psmb9;Psmb8;Psma3;Psmb3;Psma2;Psmb5"
"REACTOME_BIOLOGICAL_OXIDATIONS",7.24404729042933e-05,0.00356165658446109,0.538434096309916,-0.599601404648478,-1.92290895597159,77,"Bphl;Cmbl;Mgst1;Gstk1;Gstz1;Akr1a1;Fdx1;Adh1;Mgst3;Paox;Cndp2;Mtarc2;Adh5;Fdxr;Ahcy;Gsta3;Fmo1;Comt;Sult1a1;Ugp2;Gstm7;Nqo2;Maob;Sult1b1"
"REACTOME_COMPLEX_III_ASSEMBLY",0.000141221739851282,0.0059514876080183,0.518848077743792,-0.873458969782935,-1.9489059164115,13,"Uqcrfs1;Uqcrq;Uqcrc2;Uqcrc1;Cyc1;Nfs1;Uqcrh;Uqcr10"
"REACTOME_COMPLEX_IV_ASSEMBLY",0.000140419913798546,0.0059514876080183,0.518848077743792,-0.860733038488968,-1.97483929180337,15,"Cox7a2;Cox6c;Cox7b;Cox5a;Cox6b1;Cox5b;Cox17;Surf1;Cox8a"
"REACTOME_MITOTIC_PROMETAPHASE",0.000132469827205173,0.0059514876080183,0.518848077743792,0.602826758482522,1.91632968405552,65,"Nek7;Nup98;Ywhae;Numa1;Pcnt;Clasp1;Rad21;Dctn1;Smc1a"
"REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION",0.000170201031921951,0.00684672332958756,0.518848077743792,0.509199556675012,1.79649388367927,126,"Fga;Pecam1;Fgg;Actn4;Orm1;Plg;Itih4;F2r;Itpr2;Timp3;F8;Fn1;Itih3;Fyn;Ptpn11;Serping1;Prkch;Ptpn1;Serpina3n;Clu;F5;Vcl;Hrg;Akt1;Tgfb1;Gng12;Fcer1g;Serpina3m;Arrb1;Calu;Serpina1e;Qsox1;Prkce;Cd9;Abcc4;Rhoa;Srgn;Pros1;Brpf3;Vav2;Ptk2;App;Gng2;Itgb3;Rac2;Lgals3bp"
"REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION",0.000195823817238371,0.0075349599241721,0.518848077743792,-0.615301746062254,-1.89383064485735,61,"Vamp8;Psmd14;H2-T23;Psme2;H2-Q1;Psma1;Psmb9;Psmb8;Psma3;Psmb3;Psma2;Psmb5;Psmc2"
